codec_label,t,n_replicates,n_trials_per_replicate,n_trials_total,accuracy_predicted,accuracy_empirical_mean,accuracy_empirical_std,accuracy_ci_low,accuracy_ci_high,gap_mean_vs_predicted,prediction_in_ci,successes_pooled,pc_nonmember_predicted,max_q
Dense(M=3),1,10,10000,100000,0.5,0.5,0.0,0.4969010274175287,0.5030989725824713,0.0,True,50000,1.0,0.125
Dense(M=3),2,10,10000,100000,0.9375,0.9368399999999999,0.0014361986863476307,0.935315472240744,0.9383309657576939,-0.000660000000000105,True,93684,0.125,0.125
Dense(M=3),3,10,10000,100000,0.9921875,0.9925200000000001,0.0006390965845976959,0.9919667119498242,0.9930354482071911,0.00033250000000006885,True,99252,0.015625,0.125
Dense(M=3),4,10,10000,100000,0.9990234375,0.99878,0.00020976176963402953,0.9985436400082377,0.9989780391989338,-0.00024343749999999886,False,99878,0.001953125,0.125
Dense(M=3),5,10,10000,100000,0.9998779296875,0.99985,0.000150923085635607,0.9997525041074368,0.999909092892653,-2.792968749998348e-05,True,99985,0.000244140625,0.125
Dense(M=4),1,10,10000,100000,0.5,0.5,0.0,0.4969010274175287,0.5030989725824713,0.0,True,50000,1.0,0.5625
Dense(M=4),2,10,10000,100000,0.828125,0.8265,0.0032533743166817354,0.8241403927550924,0.8288345225605608,-0.0016249999999999876,True,82650,0.34375,0.5625
Dense(M=4),3,10,10000,100000,0.91015625,0.91027,0.002317110269279387,0.9084828305873074,0.9120256487589502,0.00011375000000002355,True,91027,0.1796875,0.5625
Dense(M=4),4,10,10000,100000,0.94989013671875,0.94967,0.0023744239067379855,0.9482975902734085,0.9510078620083366,-0.00022013671874998586,True,94967,0.1002197265625,0.5625
Dense(M=4),5,10,10000,100000,0.9718399047851562,0.9715199999999999,0.001659852737778595,0.9704707634545169,0.9725330101125178,-0.0003199047851563108,True,97152,0.0563201904296875,0.5625
"Padded(M=4,v0)",1,10,10000,100000,0.5,0.5,0.0,0.4969010274175287,0.5030989725824713,0.0,True,50000,1.0,0.5625
"Padded(M=4,v0)",2,10,10000,100000,0.828125,0.82642,0.0035439463251516097,0.8240599684286665,0.8287549530333107,-0.0017049999999999566,True,82642,0.34375,0.5625
"Padded(M=4,v0)",3,10,10000,100000,0.91015625,0.9105800000000001,0.0025218159242013424,0.9087955798543454,0.912332875674907,0.000423750000000056,True,91058,0.1796875,0.5625
"Padded(M=4,v0)",4,10,10000,100000,0.94989013671875,0.9501899999999999,0.0030823692186368492,0.9488242186017819,0.9515211937288579,0.00029986328124986805,True,95019,0.1002197265625,0.5625
"Padded(M=4,v0)",5,10,10000,100000,0.9718399047851562,0.97187,0.0018535551426021005,0.9708269187786898,0.9728768278981779,3.0095214843761653e-05,True,97187,0.0563201904296875,0.5625
"Huffman(M=4,p_f)",1,10,10000,100000,0.5,0.5,0.0,0.4969010274175287,0.5030989725824713,0.0,True,50000,1.0,0.5
"Huffman(M=4,p_f)",2,10,10000,100000,0.85546875,0.85448,0.0023408450515904553,0.8522807940363499,0.8566519716025254,-0.0009887499999999827,True,85448,0.2890625,0.5
"Huffman(M=4,p_f)",3,10,10000,100000,0.935791015625,0.93649,0.0030215705996863504,0.9349615969619867,0.9379848679266183,0.0006989843750000446,True,93649,0.12841796875,0.5
"Huffman(M=4,p_f)",4,10,10000,100000,0.9685821533203125,0.96893,0.001608346286649024,0.9678364489704279,0.9699875235838424,0.00034784667968745797,True,96893,0.062835693359375,0.5
"Huffman(M=4,p_f)",5,10,10000,100000,0.9843568801879883,0.98296,0.0015042162965034902,0.9821390922922886,0.9837438023504308,-0.0013968801879883364,False,98296,0.03128623962402344,0.5
AntiHuffman(M=4),1,10,10000,100000,0.5,0.5,0.0,0.4969010274175287,0.5030989725824713,0.0,True,50000,1.0,0.25
AntiHuffman(M=4),2,10,10000,100000,0.9140625,0.9153800000000001,0.0020622533522554666,0.913638986056793,0.9170891006930265,0.0013175000000000825,True,91538,0.171875,0.25
AntiHuffman(M=4),3,10,10000,100000,0.98193359375,0.98155,0.0013293691068406177,0.9806972270899313,0.9823657758817467,-0.0003835937499999664,True,98155,0.0361328125,0.25
AntiHuffman(M=4),4,10,10000,100000,0.995819091796875,0.9957900000000001,0.0006854844191437736,0.9953691995417289,0.9961727093842978,-2.9091796874936016e-05,True,99579,0.00836181640625,0.25
AntiHuffman(M=4),5,10,10000,100000,0.9989910125732422,0.9990600000000001,0.00032041639575192994,0.998849927713878,0.9992317299811599,6.898742675787162e-05,True,99906,0.002017974853515625,0.25
